category,literal,occurrences,distinct_files,first_location
spacing,"16, width: 360, boxshadow: ""0 8px 24px rgba(0,0,0,0.2)""",1,1,frontend/src/components/planning/PlanningBottomDrawer.tsx:2100
spacing,"""6px 9px"",",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:285
spacing,"4, flexwrap: ""wrap"", margintop: 4",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:322
spacing,"""8px 11px"",",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:358
spacing,"6, marginbottom: 4",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:367
spacing,"""0 2px""",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:483
spacing,"6, flexwrap: ""wrap"", marginbottom: 12",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:488
spacing,"6, flexwrap: ""wrap"", margintop: 4",1,1,frontend/src/components/planning/ActivityDetailBlock.tsx:537
spacing,"8, alignitems: ""center"", fontweight: 400",1,1,frontend/src/components/planning/PlanningRightDrawer.tsx:749
spacing,"""12px 0"", paddingtop: 12",1,1,frontend/src/components/planning/PlanningRightDrawer.tsx:903
spacing,"10, flexwrap: ""wrap""",1,1,frontend/src/components/planning/views/ParadeNightGridView.tsx:268
spacing,"6, marginbottom: 14",1,1,frontend/src/components/planning/views/TermView.tsx:105
spacing,"10, marginbottom: 14",1,1,frontend/src/components/planning/views/TwoWeekView.tsx:14
spacing,{ item: 10,1,1,frontend/src/components/charts/FacilitatorTimeline.tsx:93
spacing,"""14px 16px"", marginbottom: 12,",1,1,frontend/src/components/charts/DashboardCharts.tsx:15
spacing,"""6px 10px"", margintop: 10,",1,1,frontend/src/components/charts/DashboardCharts.tsx:21
spacing,"""12px 4px""",1,1,frontend/src/components/charts/DashboardCharts.tsx:23
spacing,"12, overflowx: ""auto"", height: 90",1,1,frontend/src/components/charts/DashboardCharts.tsx:238
spacing,"2, height: 70",1,1,frontend/src/components/charts/DashboardCharts.tsx:241
spacing,"""2px 4px"", whitespace: ""nowrap""",1,1,frontend/src/components/charts/DashboardCharts.tsx:270
spacing,"16, alignitems: ""flex-start""",1,1,frontend/src/components/charts/DashboardCharts.tsx:322
spacing,"""5px 0""",1,1,frontend/src/components/charts/DashboardCharts.tsx:387
spacing,"""5px 8px"", fontweight: 700, whitespace: ""nowrap""",1,1,frontend/src/components/charts/DashboardCharts.tsx:441
spacing,"""6px 8px"", fontweight: 600",1,1,frontend/src/routes/Settings.tsx:180
spacing,"""6px 8px"", textalign: ""right""",1,1,frontend/src/routes/Settings.tsx:185
spacing,"""0 auto""",1,1,frontend/src/routes/PlanningWorkspace.tsx:336
spacing,"""4px 14px"", display: ""flex"", flexwrap: ""wrap"", gap: 8, rowgap: 6, alignitems: ""center""",1,1,frontend/src/routes/PlanningWorkspace.tsx:560
spacing,"""0 4px""",1,1,frontend/src/routes/PlanningWorkspace.tsx:582
