router_file,method,full_path,function,line
backend/app/routers/planning.py,PATCH,/api/planning/locations/{location_id},update_location,1768
backend/app/routers/planning.py,GET,/api/planning/facilitators,list_planning_facilitators,1801
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/conflicts,get_conflicts,1913
backend/app/routers/planning.py,POST,/api/planning/conflicts/{conflict_id}/override,override_conflict,1935
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/run-checks,run_checks,1958
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/decision-guide,get_decision_guide,1981
backend/app/routers/planning.py,GET,/api/planning/command-centre,get_command_centre,2065
backend/app/routers/planning.py,GET,/api/planning/prep-rules,list_prep_rules,2266
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/missions,list_missions,2331
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/assign-mission,assign_mission,2540
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/annual-program,get_annual_program,2615
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/rollover,rollover_year,2828
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/export.xlsx,export_annual_program_xlsx,2957
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/schedule/export.xlsx,export_schedule_xlsx,3023
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/schedule/import,import_schedule_xlsx,3095
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/import-program,import_annual_program,3272
backend/app/routers/planning.py,GET,/api/planning/facilitators/{fac_id}/leave,list_facilitator_leave,3463
backend/app/routers/planning.py,POST,/api/planning/facilitators/{fac_id}/leave,add_facilitator_leave,3498
backend/app/routers/planning.py,DELETE,/api/planning/facilitator-leave/{leave_id},delete_facilitator_leave,3571
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/facilitators/{fac_id}/workload,facilitator_workload,3591
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/night-summaries,night_summaries,3688
backend/app/routers/planning.py,GET,/api/planning/parade-dates/{date_id}/notices,list_notices,3812
backend/app/routers/planning.py,POST,/api/planning/parade-dates/{date_id}/notices,create_notice,3835
backend/app/routers/planning.py,PATCH,/api/planning/notices/{notice_id},update_notice,3868
backend/app/routers/planning.py,POST,/api/planning/notices/{notice_id}/archive,archive_notice,3894
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/cea/activities,list_cea_activities,3952
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/cea/batches,list_cea_batches,3991
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/cea/import,import_cea_csv,4073
backend/app/routers/planning.py,PATCH,/api/planning/cea/{activity_id}/classify,classify_cea_activity,4228
backend/app/routers/planning.py,POST,/api/planning/cea/{activity_id}/local-hide,set_local_hide,4274
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/cea/activities,create_manual_activity,4330
