file,kind,name,line
frontend/src/routes/Facilitators.tsx,function,AddFacModal,161
frontend/src/routes/Facilitators.tsx,function,TagsModal,214
frontend/src/routes/Facilitators.tsx,function,FacStats,244
frontend/src/routes/Imports.tsx,exported-function,Imports,9
frontend/src/routes/Overviews.tsx,function,squadronRisk,19
frontend/src/routes/Overviews.tsx,exported-function,WingOverview,30
frontend/src/routes/Overviews.tsx,function,wingRisk,129
frontend/src/routes/Overviews.tsx,function,CapabilityPanel,141
frontend/src/routes/Overviews.tsx,exported-function,NationalOverview,200
frontend/src/routes/ParadeNightDetail.tsx,exported-function,ParadeNightDetailView,10
frontend/src/routes/ParadeNightDetail.tsx,const-arrow,refetch,17
frontend/src/routes/ParadeNightDetail.tsx,function,AddSessionForm,64
frontend/src/routes/ParadeNightDetail.tsx,function,SetStatusForm,109
frontend/src/routes/ParadeNights.tsx,exported-function,ParadeNights,13
frontend/src/routes/ParadeNights.tsx,function,CreateParadeModal,50
frontend/src/routes/PlanningWorkspace.tsx,exported-function,PlanningWorkspace,24
frontend/src/routes/PlanningWorkspace.tsx,const-arrow,onKey,63
frontend/src/routes/PlanningWorkspace.tsx,function,handleLayerToggle,107
frontend/src/routes/PlanningWorkspace.tsx,function,handleAudienceToggle,111
frontend/src/routes/PlanningWorkspace.tsx,function,handlePriorityToggle,119
frontend/src/routes/PlanningWorkspace.tsx,function,handleDateClick,127
frontend/src/routes/PlanningWorkspace.tsx,function,handleSessionClick,133
frontend/src/routes/PlanningWorkspace.tsx,function,handleEmptyCellClick,142
frontend/src/routes/PlanningWorkspace.tsx,function,handleAnchorClick,146
frontend/src/routes/PlanningWorkspace.tsx,function,handleViewRangeChange,168
frontend/src/routes/PlanningWorkspace.tsx,function,renderCanvas,174
frontend/src/routes/ReportCatalogue.tsx,function,flag,29
frontend/src/routes/ReportCatalogue.tsx,exported-function,ReportCatalogue,35
frontend/src/routes/Reports.tsx,exported-function,Reports,9
frontend/src/routes/Resources.tsx,exported-function,Resources,7
frontend/src/routes/Settings.tsx,function,roleBadge,17
frontend/src/routes/Settings.tsx,function,unitLabel,25
frontend/src/routes/Settings.tsx,exported-function,Settings,32
frontend/src/routes/Settings.tsx,function,selectUser,91
frontend/src/routes/Settings.tsx,function,cancelReset,92
frontend/src/routes/WeeklyProgram.tsx,exported-function,WeeklyProgram,8
frontend/src/tests/permissions.test.tsx,const-arrow,mk,6
