context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
light,components.css,.login-foot,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,components.css,.login-foot,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,components.css,.login-foot,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,components.css,.login-foot,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,components.css,.login-foot,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,components.css,.login-foot,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,components.css,.login-foot,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,components.css,.field-err,#e51937,#ffffff,13.0,400,False,4.5,4.64,PASS,assumed --surface,no
light,components.css,.field-err,#e51937,#f4f8fc,13.0,400,False,4.5,4.35,FAIL,assumed --background,no
dark,components.css,.field-err,#ff6b6b,#0f1c30,13.0,400,False,4.5,6.16,PASS,assumed --surface,no
dark,components.css,.field-err,#ff6b6b,#081426,13.0,400,False,4.5,6.65,PASS,assumed --background,no
hc,components.css,.field-err,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --surface,no
hc,components.css,.field-err,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --background,no
contrast-more,components.css,.field-err,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --surface,no
contrast-more,components.css,.field-err,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --background,no
light,components.css,.okmsg,#1a7f4b,#ffffff,13.0,400,False,4.5,5.02,PASS,assumed --surface,no
light,components.css,.okmsg,#1a7f4b,#f4f8fc,13.0,400,False,4.5,4.71,PASS,assumed --background,no
hc,components.css,.okmsg,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --surface,no
hc,components.css,.okmsg,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --background,no
contrast-more,components.css,.okmsg,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --surface,no
contrast-more,components.css,.okmsg,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --background,no
light,components.css,.scope-note,#44506a,#f0f5fa,13.0,400,False,4.5,7.36,PASS,same-rule,no
dark,components.css,.scope-note,#c7d4e3,#16233a,13.0,400,False,4.5,10.45,PASS,same-rule,no
hc,components.css,.scope-note,#111111,#f0f0f0,13.0,400,False,4.5,16.57,PASS,same-rule,no
contrast-more,components.css,.scope-note,#111111,#f0f0f0,13.0,400,False,4.5,16.57,PASS,same-rule,no
light,components.css,.hm-ok,#14532d,#cfead8,13.0,400,False,4.5,7.12,PASS,same-rule,no
dark,components.css,.hm-ok,#14532d,#cfead8,13.0,400,False,4.5,7.12,PASS,same-rule,no
hc,components.css,.hm-ok,#14532d,#cfead8,13.0,400,False,4.5,7.12,PASS,same-rule,no
contrast-more,components.css,.hm-ok,#14532d,#cfead8,13.0,400,False,4.5,7.12,PASS,same-rule,no
light,components.css,.hm-warn,#7a4a00,#fde9c8,13.0,400,False,4.5,6.29,PASS,same-rule,no
dark,components.css,.hm-warn,#7a4a00,#fde9c8,13.0,400,False,4.5,6.29,PASS,same-rule,no
hc,components.css,.hm-warn,#7a4a00,#fde9c8,13.0,400,False,4.5,6.29,PASS,same-rule,no
contrast-more,components.css,.hm-warn,#7a4a00,#fde9c8,13.0,400,False,4.5,6.29,PASS,same-rule,no
light,components.css,.hm-red,#7a1d16,#f7d0cc,13.0,400,False,4.5,7.37,PASS,same-rule,no
dark,components.css,.hm-red,#7a1d16,#f7d0cc,13.0,400,False,4.5,7.37,PASS,same-rule,no
hc,components.css,.hm-red,#7a1d16,#f7d0cc,13.0,400,False,4.5,7.37,PASS,same-rule,no
contrast-more,components.css,.hm-red,#7a1d16,#f7d0cc,13.0,400,False,4.5,7.37,PASS,same-rule,no
light,components.css,.hm-na,#657380,#f0f5fa,13.0,400,False,4.5,4.43,FAIL,same-rule,no
dark,components.css,.hm-na,#9fb2c6,#16233a,13.0,400,False,4.5,7.23,PASS,same-rule,no
hc,components.css,.hm-na,#303030,#f0f0f0,13.0,400,False,4.5,11.58,PASS,same-rule,no
contrast-more,components.css,.hm-na,#3a3a3a,#f0f0f0,13.0,400,False,4.5,9.98,PASS,same-rule,no
light,components.css,.tag-chip,#002f65,#ffffff,11.5,700,False,4.5,13.17,PASS,assumed --surface,yes
light,components.css,.tag-chip,#002f65,#f4f8fc,11.5,700,False,4.5,12.34,PASS,assumed --background,yes
dark,components.css,.tag-chip,#51b0e3,#0f1c30,11.5,700,False,4.5,7.05,PASS,assumed --surface,yes
dark,components.css,.tag-chip,#51b0e3,#081426,11.5,700,False,4.5,7.62,PASS,assumed --background,yes
hc,components.css,.tag-chip,#000044,#ffffff,11.5,700,False,4.5,19.38,PASS,assumed --surface,yes
hc,components.css,.tag-chip,#000044,#ffffff,11.5,700,False,4.5,19.38,PASS,assumed --background,yes
contrast-more,components.css,.tag-chip,#000044,#ffffff,11.5,700,False,4.5,19.38,PASS,assumed --surface,yes
contrast-more,components.css,.tag-chip,#000044,#ffffff,11.5,700,False,4.5,19.38,PASS,assumed --background,yes
light,components.css,.fts-item.fts-ok,#1a7f4b,#d6e8df,13.0,400,False,4.5,3.94,FAIL,same-rule,no
hc,components.css,.fts-item.fts-ok,#004d24,#d1dfd8,13.0,400,False,4.5,7.31,PASS,same-rule,no
contrast-more,components.css,.fts-item.fts-ok,#004d24,#d1dfd8,13.0,400,False,4.5,7.31,PASS,same-rule,no
light,components.css,.fts-item.fts-warn,#a86600,#f5e7d1,13.0,400,False,4.5,3.77,FAIL,same-rule,no
hc,components.css,.fts-item.fts-warn,#a86600,#e4dbd1,13.0,400,False,4.5,3.36,FAIL,same-rule,no
contrast-more,components.css,.fts-item.fts-warn,#a86600,#e4dbd1,13.0,400,False,4.5,3.36,FAIL,same-rule,no
light,components.css,.fts-item.fts-red,#e51937,#fbdce1,13.0,400,False,4.5,3.63,FAIL,same-rule,no
dark,components.css,.fts-item.fts-red,#ff6b6b,#332839,13.0,400,False,4.5,5.03,PASS,same-rule,no
hc,components.css,.fts-item.fts-red,#cc0011,#f7d9db,13.0,400,False,4.5,4.45,FAIL,same-rule,no
contrast-more,components.css,.fts-item.fts-red,#e51937,#fbdce1,13.0,400,False,4.5,3.63,FAIL,same-rule,no
light,components.css,.fts-item.fts-blue,#004b8d,#d9e4ee,13.0,400,False,4.5,6.81,PASS,same-rule,no
dark,components.css,.fts-item.fts-blue,#004b8d,#0d233e,13.0,400,False,4.5,1.8,FAIL,same-rule,no
